d----w--wx uucp/voice        0 unit1exercise3/ausschmeckte/
d----wx-wx lp/student        0 unit1exercise3/angesetzst/
d--Sr--r-- uucp/cdrom        0 unit1exercise3/angepflumt/zertraut/ausgehalten/
d--s-wx--- proxy/cdrom       0 unit1exercise3/berabarbkeit/aufgewarfer/
d-wSr-xr-x news/fax          0 unit1exercise3/verfahrer/ensteher/bewarfte/
d-ws-w---x proxy/voice       0 unit1exercise3/berabarbkeit/
d-wxr-x--- mail/uucp         0 unit1exercise3/ausgerauchs/einraucher/ankatzes/
dr-----r-x nobody/audio      0 unit1exercise3/verfahrer/vergeher/
dr-S---r-- news/news         0 unit1exercise3/verfahrer/ensteher/
dr-S--xr-- mail/student      0 unit1exercise3/ausgerauchs/einraucher/geschmeckse/
dr-x--xrwx news/fax          0 unit1exercise3/verfahrer/
dr-x-w-r-x nobody/news       0 unit1exercise3/austritter/
dr-xr-x--x proxy/proxy       0 unit1exercise3/ausgerauchs/einraucher/
drw---x-wx lp/floppy         0 unit1exercise3/enrabarbkeit/
drw---x-wx news/tape         0 unit1exercise3/angepflumt/zertraut/
drw--w--wx student/mail      0 unit1exercise3/angepflumt/
drw--w-rw- nobody/proxy      0 unit1exercise3/berabarbkeit/aufgewarfer/zergehs/
drwS-w-rwx mail/cdrom        0 unit1exercise3/angepflumt/zertraut/aufgesetzt/
drwxr-x-w- lp/proxy          0 unit1exercise3/ausgerauchs/
drwxr-x-wx lp/dip            0 unit1exercise3/verfahrer/vergeher/enkatzest/
drwxrwxr-x student/student   0 unit1exercise3/
