d--x---rwx student/floppy    0 unit1exercise4/angetrauer/
d--xr--r-x student/news      0 unit1exercise4/angehundte/angerabarber/enwarfen/
d-w--wS--- student/fax       0 unit1exercise4/verstehheit/
d-w-r-xr-- student/fax       0 unit1exercise4/aufgekatzeer/einsetzst/
d-w-rws--- student/floppy    0 unit1exercise4/angegehst/
d-w-rws-w- student/fax       0 unit1exercise4/angewarfse/ausgesprachen/ausgestehte/
d-wx-w---- student/audio     0 unit1exercise4/angehundte/angerabarber/
d-wxr--r-x student/voice     0 unit1exercise4/angetrauer/gekaeser/aufgerennheit/
d-wxr-srw- student/audio     0 unit1exercise4/angetrauer/gekaeser/
dr----Sr-- student/dip       0 unit1exercise4/angewarfse/
dr----sr-- student/news      0 unit1exercise4/angehte/
dr----xr-x student/audio     0 unit1exercise4/angehundte/
dr--rwS--- student/news      0 unit1exercise4/aufgekatzeer/einsetzst/aufgetrauer/
dr-x-w--wx student/cdrom     0 unit1exercise4/aufgekatzeer/
dr-xrwsr-- student/dip       0 unit1exercise4/angewarfse/ausgesprachen/angehalttest/
drw--wSrw- student/proxy     0 unit1exercise4/angewarfse/ausgesprachen/auslauft/
drwx--s-w- student/floppy    0 unit1exercise4/aufgekatzeer/einsetzst/zertraust/
drwxrw---x student/uucp      0 unit1exercise4/ankletter/
drwxrws--- student/proxy     0 unit1exercise4/angewarfse/ausgesprachen/
drwxrws-w- student/cdrom     0 unit1exercise4/angehte/gerabarbheit/
drwxrwxr-x student/student   0 unit1exercise4/
